Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;1,0;1,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
0;0;2019-01-01T11:00:00.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;1,0;50,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
1;1;2019-01-01T11:00:01.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;1,0;2,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
1;1;2019-01-01T11:00:01.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;2,0;49,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
2;2;2019-01-01T11:00:02.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;1,0;3,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
2;2;2019-01-01T11:00:02.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;3,0;49,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
3;3;2019-01-01T11:00:03.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;1,0;4,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
3;3;2019-01-01T11:00:03.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;4,0;48,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
4;4;2019-01-01T11:00:04.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;1,0;5,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
4;4;2019-01-01T11:00:04.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;5,0;47,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
5;5;2019-01-01T11:00:05.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;1,0;6,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
5;5;2019-01-01T11:00:05.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;6,0;46,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
6;6;2019-01-01T11:00:06.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;1,0;7,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
6;6;2019-01-01T11:00:06.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;7,0;45,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
