Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;inGame;magazineCount;movementDelay;stage;tagged;visibilityRange;visualRange;wasTagged;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;10;green;standing;100;False;True;5;0;0;False;10.0;10.0;False;1,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
0;0;2019-01-01T11:00:00.0000000+01:00;10;red;standing;100;False;True;5;0;0;False;10.0;10.0;False;6,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
1;1;2019-01-01T11:00:01.0000000+01:00;10;green;standing;100;False;True;5;0;0;False;10.0;10.0;False;2,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
1;1;2019-01-01T11:00:01.0000000+01:00;10;red;standing;100;True;True;5;0;0;False;7.0;7.0;False;5,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
2;2;2019-01-01T11:00:02.0000000+01:00;10;green;standing;100;False;True;5;0;1;False;15.0;15.0;False;3,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
2;2;2019-01-01T11:00:02.0000000+01:00;10;red;standing;100;True;True;5;0;0;False;7.0;7.0;False;5,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
3;3;2019-01-01T11:00:03.0000000+01:00;10;green;standing;100;False;True;5;0;1;False;10.0;10.0;False;4,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
3;3;2019-01-01T11:00:03.0000000+01:00;10;red;standing;100;True;True;5;0;0;False;7.0;7.0;False;5,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
4;4;2019-01-01T11:00:04.0000000+01:00;10;green;standing;100;False;True;5;0;1;False;10.0;10.0;False;4,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
4;4;2019-01-01T11:00:04.0000000+01:00;10;red;standing;100;True;True;5;0;0;False;7.0;7.0;False;5,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
5;5;2019-01-01T11:00:05.0000000+01:00;10;green;standing;100;False;True;5;0;1;False;10.0;10.0;False;4,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
5;5;2019-01-01T11:00:05.0000000+01:00;10;red;standing;100;True;True;5;0;0;False;7.0;7.0;False;5,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
6;6;2019-01-01T11:00:06.0000000+01:00;10;green;standing;100;False;True;5;0;1;False;10.0;10.0;False;4,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
6;6;2019-01-01T11:00:06.0000000+01:00;10;red;standing;100;True;True;5;0;0;False;7.0;7.0;False;5,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
7;7;2019-01-01T11:00:07.0000000+01:00;10;green;standing;100;False;True;5;0;1;False;10.0;10.0;False;4,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
7;7;2019-01-01T11:00:07.0000000+01:00;10;red;standing;100;True;True;5;0;0;False;7.0;7.0;False;5,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
8;8;2019-01-01T11:00:08.0000000+01:00;10;red;standing;100;True;True;5;0;0;False;7.0;7.0;False;5,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
8;8;2019-01-01T11:00:08.0000000+01:00;10;green;standing;100;False;True;5;0;1;False;10.0;10.0;False;4,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
9;9;2019-01-01T11:00:09.0000000+01:00;10;red;standing;100;True;True;5;0;0;False;7.0;7.0;False;5,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
9;9;2019-01-01T11:00:09.0000000+01:00;10;green;standing;100;False;True;5;0;1;False;10.0;10.0;False;4,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
10;10;2019-01-01T11:00:10.0000000+01:00;10;green;standing;100;False;True;5;0;1;False;10.0;10.0;False;4,0;1,0;cd010a3f-f216-47f7-b13b-df0182ad4a0d
10;10;2019-01-01T11:00:10.0000000+01:00;10;red;standing;100;True;True;5;0;0;False;7.0;7.0;False;5,0;1,0;07440219-216d-4fca-9a4b-c3124bdc39fa
