Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;1,0;50,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
1;1;2019-01-01T11:00:01.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;2,0;49,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
2;2;2019-01-01T11:00:02.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;3,0;49,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
3;3;2019-01-01T11:00:03.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;4,0;48,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
4;4;2019-01-01T11:00:04.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;5,0;47,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
5;5;2019-01-01T11:00:05.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;6,0;46,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
6;6;2019-01-01T11:00:06.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;7,0;45,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
7;7;2019-01-01T11:00:07.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;8,0;44,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
8;8;2019-01-01T11:00:08.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;9,0;43,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
9;9;2019-01-01T11:00:09.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;10,0;42,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
10;10;2019-01-01T11:00:10.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;11,0;41,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
11;11;2019-01-01T11:00:11.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;12,0;40,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
12;12;2019-01-01T11:00:12.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;13,0;39,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
13;13;2019-01-01T11:00:13.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;14,0;38,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
14;14;2019-01-01T11:00:14.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;15,0;37,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
15;15;2019-01-01T11:00:15.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;16,0;36,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
16;16;2019-01-01T11:00:16.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;17,0;35,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
17;17;2019-01-01T11:00:17.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;18,0;34,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
18;18;2019-01-01T11:00:18.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;19,0;33,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
19;19;2019-01-01T11:00:19.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;20,0;32,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
20;20;2019-01-01T11:00:20.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;21,0;31,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
21;21;2019-01-01T11:00:21.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;22,0;30,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
22;22;2019-01-01T11:00:22.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;23,0;29,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
23;23;2019-01-01T11:00:23.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;24,0;28,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
24;24;2019-01-01T11:00:24.0000000+01:00;10;red;standing;80;False;5;0;0;0;False;0;10.0;10.0;True;2;1.0;50.0;25,0;27,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
25;25;2019-01-01T11:00:25.0000000+01:00;10;red;standing;80;False;5;0;0;1;False;0;10.0;10.0;True;1;1.0;50.0;26,0;26,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
26;26;2019-01-01T11:00:26.0000000+01:00;10;red;standing;60;False;5;0;0;1;False;0;10.0;10.0;True;1;1.0;50.0;25,0;27,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
27;27;2019-01-01T11:00:27.0000000+01:00;10;red;standing;40;False;5;0;0;1;False;0;10.0;10.0;True;2;1.0;50.0;24,0;26,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
28;28;2019-01-01T11:00:28.0000000+01:00;10;red;standing;40;False;4;0;0;2;False;0;7.0;7.0;True;1;1.0;50.0;23,0;25,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
29;29;2019-01-01T11:00:29.0000000+01:00;10;red;standing;20;False;3;0;0;2;False;0;7.0;7.0;True;2;1.0;50.0;23,0;25,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
30;30;2019-01-01T11:00:30.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;1;1.0;50.0;1,0;50,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
31;31;2019-01-01T11:00:31.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;2,0;49,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
32;32;2019-01-01T11:00:32.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;3,0;49,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
33;33;2019-01-01T11:00:33.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;4,0;48,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
34;34;2019-01-01T11:00:34.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;5,0;47,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
35;35;2019-01-01T11:00:35.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;6,0;46,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
36;36;2019-01-01T11:00:36.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;7,0;45,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
37;37;2019-01-01T11:00:37.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;8,0;44,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
38;38;2019-01-01T11:00:38.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;9,0;43,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
