Tick;Step;DateTime;free;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;True;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
1;1;2019-01-01T11:00:01.0000000+01:00;False;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
2;2;2019-01-01T11:00:02.0000000+01:00;False;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
3;3;2019-01-01T11:00:03.0000000+01:00;False;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
4;4;2019-01-01T11:00:04.0000000+01:00;False;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
5;5;2019-01-01T11:00:05.0000000+01:00;False;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
6;6;2019-01-01T11:00:06.0000000+01:00;False;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
7;7;2019-01-01T11:00:07.0000000+01:00;False;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
8;8;2019-01-01T11:00:08.0000000+01:00;False;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
9;9;2019-01-01T11:00:09.0000000+01:00;False;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
10;10;2019-01-01T11:00:10.0000000+01:00;False;15,0;1,0;eb57a22d-560b-4f73-a968-5d19a895f475
